state,year_joined_enam,mandis
Rajasthan,2016,145
Gujarat,2016,144
Madhya Pradesh,2016,139
Uttar Pradesh,2016,125
Haryana,2016,108
Telangana,2016,57
Himachal Pradesh,2016,38
Andhra Pradesh,2016,33
Chhattisgarh,2016,20
Jharkhand,2016,19
Tamil Nadu,2017,157
Maharashtra,2017,133
Odisha,2017,66
Uttarakhand,2017,20
Punjab,2020,79
West Bengal,2020,18
Jammu & Kashmir,2020,16
Kerala,2020,6
Karnataka,2020,5
Puducherry,2020,2
Chandigarh,2020,1
Bihar,2022,20
Nagaland,2022,19
Goa,2022,7
Tripura,2022,7
Assam,2022,3
Andaman & Nicobar Islands,2022,1
